"pack_metadata","pack_side","jar_filename","mod_id","mod_name","version","classification","discovery_batch","source_repository","repository_host","mapping_status","version_match_status","evidence_basis","evidence_url","notes"
"bellsandwhistles.pw.toml","both","bellsandwhistles-0.4.7-1.21.1.jar","bellsandwhistles","Create: Bells & Whistles","0.4.7","gameplay_primary","02_create_engineering_transport_logistics","https://github.com/aesefficio/BellsAndWhistlesMod","github.com","repository_verified","exact_release_or_tag","official_release_tag_and_source_metadata_match","https://github.com/aesefficio/BellsAndWhistlesMod/tree/v0.4.7","Official source repository has exact tag v0.4.7 matching installed version 0.4.7."
"better-compatibility-checker.pw.toml","both","better-compatability-checker-neoforge-21.1.8.jar","better-compatibility-checker","Better Compatibility Checker","21.1.8","gameplay_support","06_qol_ui_maps_social_progression","https://github.com/nanite/BetterCompatibilityChecker","github.com","exact_commit_pinned","exact_commit","official_release_tag_and_source_metadata_match","https://github.com/nanite/BetterCompatibilityChecker/releases/tag/v21.1.8","The official repository tag v21.1.8 matches the installed version and identifies commit 53339b5."
"bisecthosting-server-integration-menu-neoforge.pw.toml","both","BHMenu-NeoForge-1.21-2.4.4.jar","bisecthosting-server-integration-menu-neoforge","BisectHosting Server Integration Menu [NEOFORGE]","2.4.4","gameplay_support","06_qol_ui_maps_social_progression","","","no_verifiable_public_repository_found","not_applicable","official_project_page_and_repository_search_no_mapping","https://www.curseforge.com/minecraft/mc-mods/bisecthosting-server-integration-menu-neoforge/files/7205496","Official project provides no Source link. Targeted searches by project name, author, and slug found no verifiable public implementation repository as of 2026-09-07."
"blueprint.pw.toml","both","blueprint-1.21.1-8.1.1.jar","blueprint","Blueprint","8.1.1","library_dependency","09_libraries_apis_compat_loaders","https://github.com/team-abnormals/blueprint","github.com","repository_verified","pending","official_project_source_link","https://github.com/team-abnormals/blueprint","Official project Source link resolves to the canonical repository; no exact installed release or tag was obvious."
"boat-item-view-forge.pw.toml","both","boatiview-neoforge-0.0.6-1.21.1.jar","boat-item-view-forge","Boat Item View (Forge/Neoforge)","0.0.6","gameplay_support","06_qol_ui_maps_social_progression","https://github.com/50ap5ud5/BoatItemView","github.com","repository_verified","pending","official_project_source_link","https://github.com/50ap5ud5/BoatItemView","Official project Source link resolves to this implementation repository; no exact source tag was verified for version 0.0.6."
"boatload.pw.toml","both","boatload-1.21.1-6.0.2.jar","boatload","Boatload","6.0.2","gameplay_primary","04_building_decor_general_content","https://github.com/team-abnormals/boatload","github.com","repository_verified","source_aligned","official_project_source_link","https://www.curseforge.com/minecraft/mc-mods/boatload","Official CurseForge Source link; no exact public tag or commit pinned."
"bookshelf.pw.toml","both","bookshelf-neoforge-1.21.1-21.1.81.jar","bookshelf","Bookshelf","21.1.81","library_dependency","09_libraries_apis_compat_loaders","https://github.com/Darkhax-Minecraft/Bookshelf","github.com","repository_verified","pending","official_project_source_link","https://github.com/Darkhax-Minecraft/Bookshelf","Official project Source link resolves to the canonical repository; no exact installed release or tag was obvious."
"borderless-window.pw.toml","client","borderless-neoforge-1.21.1-1.7.5_1-all.jar","borderlesswindow","Borderless Window","1.7.5_1","client_presentation","07_visuals_menus_animation_shaders","","","source_not_rechecked_for_current_release","exact_installed_artifact","official_provider_release_and_installed_jar_metadata","https://modrinth.com/mod/borderless-window/version/fAp1G5Ro","Current official client-only provider artifact; public-source mapping was not refreshed for this supplemental release catalog."
"caelus.pw.toml","both","caelus-neoforge-7.0.1+1.21.1.jar","caelus","Caelus API","7.0.1","library_dependency","09_libraries_apis_compat_loaders","https://github.com/illusivesoulworks/caelus","github.com","repository_verified","pending","official_project_source_link","https://github.com/illusivesoulworks/caelus","Official project Source link resolves to the canonical repository; no exact installed release or tag was obvious."
"chat-heads.pw.toml","client","chat_heads-0.15.7-neoforge-1.21.jar","chat-heads","Chat Heads","0.15.7","gameplay_support","06_qol_ui_maps_social_progression","https://github.com/dzwdz/chat_heads","github.com","repository_verified","pending","official_project_source_link","https://github.com/dzwdz/chat_heads","Official project Source link resolves to this implementation repository; no exact source tag was verified for version 0.15.7."
"chunk-activity-tracker.pw.toml","both","chunkactivitytracker-neoforge-1.0.1-1.21.1.jar","chunk-activity-tracker","Chunk Activity Tracker","1.0.1","performance_infrastructure","08_performance_stability_networking","https://github.com/txnimc/ChunkActivityTracker","github.com","repository_verified","pending","official_project_source_link","https://github.com/txnimc/ChunkActivityTracker","The official CurseForge project Source link identifies this canonical implementation repository; no straightforward matching release or tag was verified."
"client-crafting.pw.toml","both","clientcrafting-1.21-2.1.jar","client-crafting","Client Crafting","2.1","performance_infrastructure","08_performance_stability_networking","https://github.com/someaddons/clientcrafting","github.com","repository_verified","pending","official_project_source_link","https://github.com/someaddons/clientcrafting","The official CurseForge project Source link identifies this canonical implementation repository; no straightforward matching release or tag was verified."
"climbable_ropes.pw.toml","both","climbable_ropes-2.1.1.jar","climbable_ropes","Climbable Ropes for Create Aeronautics","2.1.1","gameplay_primary","01_core_create_aeronautics_cc_weapons","https://github.com/matejhozlar/Create-Aeronautics-Climbable-Ropes","github.com","repository_verified","exact_release_or_tag","official_release_tag_and_source_metadata_match","https://github.com/matejhozlar/Create-Aeronautics-Climbable-Ropes/tree/v2.1.1","Official source repository has exact tag v2.1.1 matching installed version 2.1.1."
"cloth-config.pw.toml","both","cloth-config-15.0.140-neoforge.jar","cloth-config","Cloth Config API (Fabric/Forge/NeoForge)","15.0.140","library_dependency","09_libraries_apis_compat_loaders","https://github.com/shedaniel/cloth-config","github.com","repository_verified","pending","official_project_source_link","https://github.com/shedaniel/cloth-config","Official project Source link resolves to the canonical repository; no exact installed release or tag was obvious."
"clumps.pw.toml","both","Clumps-neoforge-1.21.1-19.0.0.1.jar","clumps","Clumps","19.0.0.1","performance_infrastructure","08_performance_stability_networking","https://github.com/jaredlll08/Clumps","github.com","repository_verified","pending","official_project_source_link","https://github.com/jaredlll08/Clumps","The official CurseForge project Source link identifies this canonical implementation repository; no straightforward matching release or tag was verified."
"collective.pw.toml","both","collective-1.21.1-8.39.jar","collective","Collective","8.39","library_dependency","09_libraries_apis_compat_loaders","https://github.com/Serilum/Collective","github.com","repository_verified","pending","official_project_source_link","https://github.com/Serilum/Collective","Official project Source link resolves to the canonical repository; no exact installed release or tag was obvious."
"colorwheel.pw.toml","client","colorwheel-neoforge-1.2.9+mc1.21.1.jar","colorwheel","Colorwheel","1.2.9","client_visual","07_visuals_menus_animation_shaders","https://github.com/djefrey/Colorwheel","github.com","exact_commit_pinned","exact_commit","official_release_tag_and_source_metadata_match","https://github.com/djefrey/Colorwheel/releases/tag/1.2.9%2B1.21.1","Official release tag 1.2.9+1.21.1 maps to commit 842a717517d62d7ac68a9cbef9388201362dce27."
"colorwheel-patcher.pw.toml","client","colorwheel_patcher-neoforge-1.0.5+mc1.21.1.jar","colorwheel-patcher","Colorwheel Patcher","1.0.5","client_visual","07_visuals_menus_animation_shaders","https://github.com/djefrey/Colorwheel-Patcher","github.com","repository_verified","pending","official_project_source_link","https://www.curseforge.com/minecraft/mc-mods/colorwheel-patcher","Official CurseForge Source link verifies the repository; no exact public 1.0.5 tag or commit was identified."
"computercraft.pw.toml","both","cc-tweaked-1.21.1-forge-1.120.2.jar","computercraft","CC:Tweaked","1.120.2","gameplay_primary","01_core_create_aeronautics_cc_weapons","https://github.com/cc-tweaked/CC-Tweaked","github.com","repository_verified","exact_release_or_tag","official_release_tag_and_source_metadata_match","https://github.com/cc-tweaked/CC-Tweaked/tree/v1.21.1-1.120.2","Official source repository has exact tag v1.21.1-1.120.2 matching installed version 1.120.2."
"configurable.pw.toml","both","configurable-3.5.2+1.21.1-neoforge.jar","configurable","Configurable","3.5.2","gameplay_support","06_qol_ui_maps_social_progression","https://github.com/Bawnorton/Configurable","github.com","repository_verified","pending","official_project_source_link","https://github.com/Bawnorton/Configurable","Official project Source link resolves to this implementation repository; no exact source tag was verified for version 3.5.2."
"configured-defaults.pw.toml","both","ConfiguredDefaults-v21.1.3-1.21.1-NeoForge.jar","configured-defaults","Configured Defaults","21.1.3","gameplay_support","06_qol_ui_maps_social_progression","https://github.com/Fuzss/configured-defaults","github.com","repository_verified","pending","official_project_source_link","https://github.com/Fuzss/configured-defaults","Official project Source link resolves to this implementation repository; no exact source tag was verified for version 21.1.3."
"connectivity.pw.toml","both","connectivity-1.21.1-7.6.jar","connectivity","Connectivity","7.6","performance_infrastructure","08_performance_stability_networking","https://github.com/someaddons/connectivity","github.com","repository_verified","pending","official_project_source_link","https://github.com/someaddons/connectivity","The official CurseForge project Source link identifies this canonical implementation repository; no straightforward matching release or tag was verified."
"continuity.pw.toml","both","continuity-3.0.0+1.21.neoforge.jar","continuity","Continuity","3.0.0+1.21","client_visual","07_visuals_menus_animation_shaders","https://github.com/PepperCode1/Continuity","github.com","exact_commit_pinned","exact_commit","official_release_tag_and_source_metadata_match","https://github.com/PepperCode1/Continuity/releases/tag/v3.0.0%2B1.21","Official release tag v3.0.0+1.21 maps to commit 9d73e905777c700dd701bf995a87ea3fce4ce197."
"controlling.pw.toml","client","Controlling-neoforge-1.21.1-19.0.5.jar","controlling","Controlling","19.0.5","gameplay_support","06_qol_ui_maps_social_progression","https://github.com/jaredlll08/Controlling","github.com","repository_verified","pending","official_project_source_link","https://github.com/jaredlll08/Controlling","Official project Source link resolves to this implementation repository; no exact source tag was verified for version 19.0.5."
"copycats.pw.toml","both","copycats-3.0.8+mc.1.21.1-neoforge.jar","copycats","Create: Copycats+","3.0.8","gameplay_primary","04_building_decor_general_content","https://github.com/copycats-plus/copycats","github.com","exact_commit_pinned","exact_commit","official_release_tag_and_source_metadata_match","https://github.com/copycats-plus/copycats/releases/tag/v3.0.8%2Bmc1.21.1","Official tag v3.0.8+mc1.21.1 matches the installed version and identifies commit 778dfa7."
"copycats-aeronautics-weight.pw.toml","both","aerocopycats-1.1.1.jar","copycats-aeronautics-weight","Copycats+ aeronautics weight","1.1.1","gameplay_primary","01_core_create_aeronautics_cc_weapons","","","no_verifiable_public_repository_found","not_applicable","official_project_page_and_repository_search_no_mapping","https://www.curseforge.com/minecraft/mc-mods/copycats-aeronautics-weight","Official project provides no valid implementation Source link. Targeted searches by project name, author, and project slug found no verifiable public implementation repository as of 2026-09-07."
"coroutil.pw.toml","both","coroutil-neoforge-1.21.0-1.3.9.jar","coroutil","CoroUtil","1.3.9","library_dependency","09_libraries_apis_compat_loaders","https://github.com/Corosauce/CoroUtil","github.com","repository_verified","pending","official_project_source_link","https://github.com/Corosauce/CoroUtil","Official project Source link resolves to the canonical repository; no exact installed release or tag was obvious."
"corpse.pw.toml","both","corpse-neoforge-1.21.1-1.1.13.jar","corpse","Corpse","1.1.13","gameplay_support","06_qol_ui_maps_social_progression","https://github.com/henkelmax/corpse","github.com","repository_verified","pending","official_project_source_link","https://github.com/henkelmax/corpse","Official project Source link resolves to this implementation repository; no exact source tag was verified for version 1.1.13."
"crash-assistant.pw.toml","both","CrashAssistant-neoforge-1.20.6-1.21.4-1.11.12.jar","crash-assistant","Crash Assistant","1.11.12","performance_infrastructure","08_performance_stability_networking","https://github.com/KostromDan/Crash-Assistant","github.com","repository_verified","pending","official_project_source_link","https://github.com/KostromDan/Crash-Assistant","The official CurseForge project Source link identifies this canonical implementation repository; no straightforward matching release or tag was verified."
"craterlib.pw.toml","both","CraterLib-Neoforge-1.21-3.1.2.jar","craterlib","CraterLib","3.1.2","library_dependency","09_libraries_apis_compat_loaders","https://github.com/firstdarkdev/CraterLib","github.com","repository_verified","pending","official_project_source_link","https://github.com/firstdarkdev/CraterLib","Official CurseForge Source link redirects from the mirror name to the canonical CraterLib repository; no exact installed release or tag was obvious."
"create.pw.toml","both","create-1.21.1-6.0.10.jar","create","Create","6.0.10","gameplay_primary","01_core_create_aeronautics_cc_weapons","https://github.com/Creators-of-Create/Create","github.com","repository_verified","exact_release_or_tag","official_release_tag_and_source_metadata_match","https://github.com/Creators-of-Create/Create/tree/mc1.21.1-6.0.10","Official source repository has exact tag mc1.21.1-6.0.10 matching installed version 6.0.10."
"create_avionics.pw.toml","both","create_avionics-neoforge-1.21.1-0.6.0.jar","create_avionics","Create: Avionics — ComputerCraft for Aeronautics","0.6.0","gameplay_primary","01_core_create_aeronautics_cc_weapons","https://github.com/SolAstrius/CreateAvionics","github.com","repository_verified","exact_release_or_tag","official_release_tag_and_source_metadata_match","https://github.com/SolAstrius/CreateAvionics/tree/v0.6.0","Official source repository has exact tag v0.6.0 matching installed version 0.6.0."
"create_submarine.pw.toml","both","create_submarine-2.2.4.jar","create_submarine","Create Deep Seas","2.2.4","gameplay_primary","01_core_create_aeronautics_cc_weapons","https://github.com/MaxCreateMC/Create-Deep-Seas","github.com","repository_verified","exact_version_and_file","curseforge_file_page_export_manifest_and_public_source","https://www.curseforge.com/minecraft/mc-mods/create-deep-seas/files/8268622","CurseForge projectID=1533137; fileID=8268622; author=MaxCreateMC; category=01_core_create_aeronautics_cc_weapons; Shenanigans addition over AoCA 2.5 Installed artifact filename verified from mods-files.txt; version resolved from the installed filename without inspecting JAR internals."
"createaddition.pw.toml","both","createaddition-1.6.0.jar","createaddition","Create Crafts & Additions","1.6.0","gameplay_primary","02_create_engineering_transport_logistics","https://github.com/mrh0/createaddition","github.com","repository_verified","source_aligned","official_project_source_link","https://github.com/mrh0/createaddition","Official CurseForge Source link identifies the repository; no exact 1.6.0 tag or release was found in a brief check."
"create-aeronautics-gadgets-and-gizmos.pw.toml","both","createthrusters-bundled-V1.1.3.jar","create-aeronautics-gadgets-and-gizmos","Create Aeronautics: Gadgets & Gizmos","1.1.3","gameplay_primary","01_core_create_aeronautics_cc_weapons","","","no_verifiable_public_repository_found","not_applicable","official_project_page_and_repository_search_no_mapping","https://www.curseforge.com/minecraft/mc-mods/create-aeronautics-gadgets-and-gizmos","Official project provides no valid implementation Source link. Targeted searches by project name, author, and project slug found no verifiable public implementation repository as of 2026-09-07."
"create-aeronautics-throwable-rope-connector.pw.toml","both","create_aeronautics_throwable_rope_connector-0.4.3.jar","create-aeronautics-throwable-rope-connector","Create Aeronautics: Throwable Rope Connector","0.4.3","gameplay_primary","01_core_create_aeronautics_cc_weapons","https://github.com/sprocketaudio/Create-Aeronautics-Throwable-Rope-Connector","github.com","repository_verified","source_aligned","official_project_source_link","https://github.com/sprocketaudio/Create-Aeronautics-Throwable-Rope-Connector","Official CurseForge Source link identifies the repository; no exact 0.4.3 tag or release was found in a brief check."
"create-aeronautics-x-curios-api-compat.pw.toml","both","createaeronauticscurios-neoforge-1.21.1-2.2.jar","create-aeronautics-x-curios-api-compat","Create Aeronautics x Curios API Compat","2.2","gameplay_primary","01_core_create_aeronautics_cc_weapons","","","no_verifiable_public_repository_found","not_applicable","official_project_page_and_repository_search_no_mapping","https://www.curseforge.com/minecraft/mc-mods/create-aeronautics-x-curios-api-compat","Official project provides no valid implementation Source link. Targeted searches by project name, author, and project slug found no verifiable public implementation repository as of 2026-09-07."
"create-aeroworks.pw.toml","both","aeroworks-1.5.0.jar","create-aeroworks","Create: Aeroworks","1.5.0","gameplay_primary","01_core_create_aeronautics_cc_weapons","","","no_verifiable_public_repository_found","not_applicable","official_project_page_and_repository_search_no_mapping","https://www.curseforge.com/minecraft/mc-mods/create-aeroworks","Official project provides no valid implementation Source link. Targeted searches by project name, author, and project slug found no verifiable public implementation repository as of 2026-09-07."
"create-aquatic-ambitions.pw.toml","both","create_aquatic_ambitions-1.21.1-2.0.4.jar","create-aquatic-ambitions","Create: Aquatic Ambitions","2.0.4","gameplay_primary","02_create_engineering_transport_logistics","https://github.com/davioliva16/create-aquatic-ambitions","github.com","repository_verified","source_aligned","official_project_source_link","https://github.com/davioliva16/create-aquatic-ambitions","Official CurseForge Source link identifies the repository; no exact 2.0.4 tag or release was found in a brief check."
"createbigcannons.pw.toml","both","createbigcannons-5.11.7+mc.1.21.1.jar","createbigcannons","Create Big Cannons","5.11.7","gameplay_primary","01_core_create_aeronautics_cc_weapons","https://github.com/Cannoneers-of-Create/CreateBigCannons","github.com","repository_verified","exact_release_or_tag","official_release_tag_and_source_metadata_match","https://github.com/Cannoneers-of-Create/CreateBigCannons/tree/v5.11.7%2Bmc.1.21.1","Official source repository has exact tag v5.11.7+mc.1.21.1 matching installed version 5.11.7."
"create-bits-n-bobs.pw.toml","both","bits_n_bobs-2.2.7.jar","create-bits-n-bobs","Create: Bits 'n' Bobs","2.2.7","gameplay_primary","04_building_decor_general_content","https://github.com/Aztech-Modding/Create-Bits-n-Bobs","github.com","repository_verified","source_aligned","official_project_source_link","https://www.curseforge.com/minecraft/mc-mods/create-bits-n-bobs","Official Source link redirects to the current organization repository; no exact tag or commit pinned."
"create-blaze-burner-fuels.pw.toml","both","create_blaze_burner_fuels-1.0.2-neoforge-1.21.1.jar","create-blaze-burner-fuels","Create: Blaze Burner Fuels","1.0.2","gameplay_primary","02_create_engineering_transport_logistics","","","no_verifiable_public_repository_found","not_applicable","official_project_page_and_repository_search_no_mapping","https://www.curseforge.com/minecraft/mc-mods/create-blaze-burner-fuels","Official project provides no valid implementation Source link. Targeted searches by project name, author, and project slug found no verifiable public implementation repository as of 2026-09-07."
"create-blocks-bogies.pw.toml","both","create_bb-1.0.8-1.21.1.jar","create-blocks-bogies","Create: Blocks & Bogies","1.0.8","gameplay_primary","02_create_engineering_transport_logistics","https://github.com/WeidosOddities/Blocks-And-Bogies","github.com","repository_verified","exact_release_or_tag","official_release_tag_and_source_metadata_match","https://github.com/WeidosOddities/Blocks-And-Bogies/tree/1.0.8","Official source repository has exact tag 1.0.8 matching installed version 1.0.8."
"create-cafe.pw.toml","both","createcafe-1.4.3.jar","create-cafe","Create Cafe","1.4.3","gameplay_primary","03_food_farming_cooking","https://github.com/1mphuls3/CreateCafe","github.com","repository_verified","source_aligned","official_project_source_link","https://www.curseforge.com/minecraft/mc-mods/create-cafe","Official CurseForge Source link; no exact public tag or commit pinned."
"create-central-kitchen.pw.toml","both","create-central-kitchen-2.6.0.jar","create-central-kitchen","Create: Central Kitchen","2.6.0","gameplay_primary","03_food_farming_cooking","https://github.com/DragonsPlusMinecraft/CreateCentralKitchen","github.com","repository_verified","source_aligned","official_project_source_link","https://www.curseforge.com/minecraft/mc-mods/create-central-kitchen","Official CurseForge Source link; no exact public tag or commit pinned."
"create-chocolate-fountain.pw.toml","both","create_chocolate_fountain-1.21.1-1.1.0.jar","create-chocolate-fountain","Create: Chocolate Fountain","1.1.0","gameplay_primary","03_food_farming_cooking","https://github.com/flaulox/CreateChocolateFountain","github.com","repository_verified","source_aligned","official_project_source_link","https://www.curseforge.com/minecraft/mc-mods/create-chocolate-fountain","Official CurseForge Source link; no exact public tag or commit pinned."
"create-confectionery.pw.toml","both","create-confectionery1.21.1_v1.1.3b.jar","create-confectionery","Create Confectionery","1.1.3b","gameplay_primary","03_food_farming_cooking","","","no_verifiable_public_repository_found","not_applicable","official_project_page_and_repository_search_no_mapping","https://www.curseforge.com/minecraft/mc-mods/create-confectionery","Official Source link points to YouTube. Modrinth and targeted project-name and author searches found no verifiable implementation repository as of 2026-09-07."
"create-connected.pw.toml","both","create_connected-1.3.2-mc1.21.1.jar","create-connected","Create: Connected","1.3.2","gameplay_primary","02_create_engineering_transport_logistics","https://github.com/hlysine/create_connected","github.com","repository_verified","exact_release_or_tag","official_release_tag_and_source_metadata_match","https://github.com/hlysine/create_connected/tree/1.3.2-mc1.21.1","Official source repository has exact tag 1.3.2-mc1.21.1 matching installed version 1.3.2."
"create-copper-splashing.pw.toml","both","coppersplashing_1.21.1_v1.jar","create-copper-splashing","Create: Copper Splashing","1","gameplay_integration","10_aoca_specific_authored_pack_layer","","","no_verifiable_public_repository_found","not_applicable","official_project_page_and_repository_search_no_mapping","https://www.curseforge.com/minecraft/mc-mods/create-copper-splashing/files/7370476","Official project provides no Source link. Author-profile review and targeted searches found no verifiable public implementation repository as of 2026-09-07."
"create-deco.pw.toml","both","createdeco-2.1.3.jar","createdeco","Create Deco","2.1.3","gameplay_primary","04_building_decor_general_content","https://github.com/talrey/CreateDeco","github.com","repository_verified","source_aligned","public_source_tree_and_exact_provider_artifact","https://modrinth.com/mod/create-deco/version/qrcMVoBD","Public source tree revision 996780bed4549d7b1d0dec65f06d5129e69330ba was inspected; it was not asserted to be the exact release source."
"create-deep-dark.pw.toml","both","create_deep_dark-3.0.2-neoforge-1.21.1.jar","create-deep-dark","Create: Deep Dark","3.0.2","gameplay_primary","05_worldgen_structures_adventure","","","no_verifiable_public_repository_found","not_applicable","official_project_page_and_repository_search_no_mapping","https://www.curseforge.com/minecraft/mc-mods/create-deep-dark","Official CurseForge and Modrinth pages provide no Source link. The author's similarly named GitHub repository is translation-only; no implementation repository was verified as of 2026-09-07."
"create-design-n-decor.pw.toml","both","Design-n-Decor-1.21.1-2.2b.jar","create-design-n-decor","Create: Design n' Decor","2.2b","gameplay_primary","04_building_decor_general_content","https://github.com/DrMango14/Create-Design-n-Decor","github.com","repository_verified","source_aligned","official_project_source_link","https://www.curseforge.com/minecraft/mc-mods/create-design-n-decor","Official CurseForge Source link; no exact public tag or commit pinned."
"create-diesel-generators.pw.toml","both","createdieselgenerators-1.21.1-1.3.15.jar","create-diesel-generators","Create: Diesel Generators","1.3.15","gameplay_primary","02_create_engineering_transport_logistics","https://github.com/george8188625/Create-Diesel-Generators","github.com","repository_verified","source_aligned","official_project_source_link","https://github.com/george8188625/Create-Diesel-Generators","Official CurseForge Source link identifies the repository; no exact 1.3.15 tag or release was found in a brief check."
"create-dragons-plus.pw.toml","both","CreateDragonsPlus-1.11.7b.jar","create-dragons-plus","Create: Dragons Plus","1.11.7b","gameplay_primary","02_create_engineering_transport_logistics","https://github.com/DragonsPlusMinecraft/CreateDragonsPlus","github.com","repository_verified","source_aligned","official_project_source_link","https://github.com/DragonsPlusMinecraft/CreateDragonsPlus","Official CurseForge Source link identifies the repository; no exact 1.11.7b tag or release was found in a brief check."
"create-dreams-desires.pw.toml","both","DnDesires-1.21.1-2.3a-BETA.jar","create-dreams-desires","Create: Dreams n' Desires","2.3a-BETA","gameplay_primary","02_create_engineering_transport_logistics","https://github.com/LopyLuna/Create-Dreams-and-Desires","github.com","repository_verified","source_aligned","official_project_source_link","https://github.com/LopyLuna/Create-Dreams-and-Desires","Official CurseForge Source link identifies the repository; no exact 2.3a-BETA tag or release was found in a brief check."
"create-electro-energetics.pw.toml","both","electroenergetics-1.21.1-1.1.1.jar","create-electro-energetics","Create: Electro Energetics","1.1.1","gameplay_primary","02_create_engineering_transport_logistics","https://github.com/george8188625/Create-Electro-Energetics","github.com","repository_verified","source_aligned","official_project_source_link","https://github.com/george8188625/Create-Electro-Energetics","Official CurseForge Source link identifies the repository; no exact 1.1.1 tag or release was found in a brief check."
"create-encased.pw.toml","both","Create Encased-1.21.1-1.9.0-ht3.jar","create-encased","Create Encased","1.9.0-ht3","gameplay_primary","04_building_decor_general_content","https://github.com/iglee42/CreateCasing","github.com","repository_verified","source_aligned","official_project_source_link","https://www.curseforge.com/minecraft/mc-mods/create-encased","Official Source vanity URL resolves to this author-owned implementation repository; no exact tag or commit pinned."
